rankings,team,conf
13,Clemson,ACC
20,Virginia,ACC
34,Duke,ACC
36,North Carolina,ACC
42,Pittsburgh,ACC
53,NC State,ACC
54,Miami,ACC
58,Virginia Tech,ACC
81,Boston College,ACC
88,Wake Forest,ACC
95,Syracuse,ACC
133,Florida State,ACC
156,Georgia Tech,ACC
190,Notre Dame,ACC
275,Louisville,ACC
2,Houston,Big 12
3,BYU,Big 12
6,Baylor,Big 12
8,Iowa State,Big 12
14,Kansas,Big 12
15,Oklahoma,Big 12
26,Cincinnati,Big 12
51,TCU,Big 12
64,Texas,Big 12
74,Texas Tech,Big 12
80,Kansas State,Big 12
85,UCF,Big 12
136,Oklahoma State,Big 12
194,West Virginia,Big 12
5,Creighton,Big East
7,Connecticut,Big East
9,Marquette,Big East
47,Villanova,Big East
56,Providence,Big East
60,Butler,Big East
69,St. John&#39;s,Big East
70,Xavier,Big East
118,Seton Hall,Big East
230,Georgetown,Big East
258,DePaul,Big East
4,Purdue,Big Ten
18,Illinois,Big Ten
19,Wisconsin,Big Ten
35,Ohio State,Big Ten
46,Northwestern,Big Ten
65,Iowa,Big Ten
66,Michigan,Big Ten
67,Nebraska,Big Ten
77,Rutgers,Big Ten
83,Michigan State,Big Ten
115,Minnesota,Big Ten
123,Indiana,Big Ten
144,Penn State,Big Ten
180,Maryland,Big Ten
1,Arizona,Pac-12
25,Washington State,Pac-12
32,Utah,Pac-12
37,Colorado,Pac-12
55,Washington,Pac-12
63,Oregon,Pac-12
91,USC,Pac-12
109,Arizona State,Pac-12
120,UCLA,Pac-12
182,Stanford,Pac-12
192,Oregon State,Pac-12
242,California,Pac-12
10,Tennessee,SEC
11,Alabama,SEC
22,Auburn,SEC
23,Texas A&amp;M,SEC
28,South Carolina,SEC
30,Mississippi State,SEC
39,Kentucky,SEC
43,Florida,SEC
61,Ole Miss,SEC
90,Missouri,SEC
103,Arkansas,SEC
129,Georgia,SEC
184,LSU,SEC
279,Vanderbilt,SEC